ID,A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, Sex, Age, Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
1,4,1,4,4,2,1,3,4,4,4,1,3,2,3,1,2,2,4,3,4,2,2,4,1,3,2,4,5,6,6,4,5,4,3,6,4,3,5,4,0,4,1,15,10,0,0,1,0,Communication
2,4,1,1,2,1,1,3,1,1,3,1,2,4,2,3,4,1,4,1,3,1,1,4,1,4,1,3,4,3,3,5,6,6,1,6,6,3,4,4,1,0,0,14,10,0,0,0,0,"School, Games"
3,4,4,4,4,4,4,2,4,4,4,4,4,2,3,4,4,4,4,1,4,4,4,4,4,4,1,1,1,1,1,1,1,2,,1,1,1,1,1,0,0,1,14,10,0,,0,0,Communication
4,4,4,1,4,2,4,3,4,2,4,2,4,1,3,3,4,2,2,1,4,1,1,3,3,4,2,1,6,7,6,4,2,3,2,4,3,2,5,3,1,0,1,15,10,0,1,0,0,School
5,2,2,4,3,4,4,2,,3,2,3,4,3,4,1,4,3,4,4,4,2,1,3,2,2,2,2,4,4,,4,5,4,2,4,5,3,5,2,16,0,0,16,10,0,0,1,0,Communication
6,4,4,3,4,1,3,4,1,4,4,4,2,1,3,4,4,3,1,2,4,4,4,4,4,4,1,3,2,1,5,6,5,5,4,3,6,3,6,6,0,0,1,16,10,0,0,0,1,
7,2,1,4,2,1,4,4,4,1,1,1,3,3,4,4,3,4,1,1,2,1,4,4,4,4,2,2,2,1,1,2,3,2,2,5,5,5,2,1,2,4,0,15,10,0,0,0,0,"Games, Other"
8,4,3,3,4,4,4,4,4,4,2,1,2,3,1,1,4,3,4,2,4,2,1,3,2,4,2,4,5,6,,5,,5,,5,5,,3,,2,0,2,18,10,0,0,0,0,Communication
9,4,4,1,1,4,4,4,1,4,1,1,2,1,4,2,4,1,2,1,3,1,1,4,3,4,1,1,3,6,2,5,3,2,1,7,3,6,7,5,0,2,2,16,10,0,0,0,0,Music
10,4,4,4,4,2,4,4,4,3,1,1,1,1,4,4,1,4,1,1,4,2,4,4,2,2,2,2,4,2,3,5,4,4,4,1,1,1,5,1,14,0,0,16,10,0,1,0,0,School
11,4,4,1,4,4,,1,2,2,4,2,,3,3,1,2,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,,6,2,,2,2,2,2,1,0,2,16,10,0,0,1,0,School
12,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,2,2,4,1,4,1,4,4,1,4,1,1,4,,2,,3,4,4,,6,2,4,4,2,0,1,15,10,0,0,0,0,Games
13,4,4,2,4,1,4,2,3,4,3,4,2,3,4,2,4,2,4,1,4,2,4,4,2,2,2,3,4,5,2,1,6,3,2,2,4,5,6,6,0,0,1,17,10,0,0,0,0,School
14,3,4,4,4,2,4,4,4,2,1,4,3,1,2,1,4,2,,2,3,4,2,4,2,4,2,4,5,3,6,4,3,1,2,1,3,2,3,4,0,0,1,17,10,0,1,0,0,Social Media
15,4,2,3,4,4,2,4,2,4,1,1,2,3,2,3,3,3,4,2,4,1,4,4,4,3,2,4,6,7,6,7,2,5,4,4,6,5,7,5,4,0,1,17,10,0,0,0,0,Other
16,3,2,4,3,1,2,1,3,4,3,4,,1,2,4,2,3,1,4,3,1,1,3,3,4,2,3,2,3,3,3,2,1,2,1,5,1,3,5,15,0,,17,10,0,0,0,0,School
17,3,4,2,4,2,4,2,4,1,1,1,1,3,4,3,3,2,4,3,4,1,4,2,3,2,1,3,2,3,1,1,5,6,2,3,3,2,5,5,1,4,1,17,10,0,0,0,0,School
18,4,2,3,4,4,3,4,1,2,,3,4,1,2,3,4,4,1,3,4,4,4,4,3,4,2,3,7,7,6,5,4,7,4,6,2,1,5,7,14,0,1,15,10,0,1,0,0,Communication
19,4,2,4,1,4,1,4,1,3,2,4,3,3,4,4,4,4,4,1,2,1,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14,10,0,,0,,
20,4,4,3,4,3,2,3,2,3,4,4,1,4,1,4,2,2,3,2,4,1,1,4,2,4,2,2,2,1,1,4,5,2,4,5,2,2,5,1,0,4,0,15,10,0,0,0,0,Games
21,1,4,4,1,2,4,1,1,1,2,3,4,1,4,1,4,1,4,1,4,2,4,4,1,2,2,3,4,1,2,2,6,3,4,,5,2,1,3,1,4,0,14,10,0,0,1,0,Games
22,3,3,3,3,4,4,2,3,4,3,2,2,3,2,2,2,1,4,4,2,2,4,4,2,3,2,4,1,2,7,1,7,1,2,1,2,1,1,7,0,2,1,16,10,0,0,0,1,Music
23,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,3,4,3,2,2,2,3,2,0,3,0,13,10,0,0,1,0,Communication
24,4,2,1,4,3,3,2,3,1,3,1,,2,2,1,2,2,3,1,2,2,2,3,2,3,3,2,3,2,,2,3,4,,2,2,1,2,2,5,2,0,16,10,0,1,0,0,School
25,2,4,2,4,3,1,1,4,2,4,1,3,4,4,2,4,4,2,1,4,2,4,4,3,2,,1,6,6,7,4,3,2,1,6,2,1,1,7,13,0,0,14,10,0,0,0,0,School
26,1,2,1,4,1,1,4,4,4,1,1,4,4,4,1,4,1,4,1,4,4,4,4,1,4,4,4,6,2,2,7,7,,1,1,7,4,7,1,10,8,0,16,10,0,1,1,1,Games
27,4,2,3,3,2,4,2,1,1,4,1,2,3,4,3,3,2,2,1,4,2,2,4,2,4,2,2,3,3,5,1,,5,4,4,3,1,4,6,15,8,1,16,10,0,0,0,0,Music
28,4,3,2,4,2,3,4,2,3,3,1,4,1,1,2,1,3,3,1,2,3,4,3,2,3,2,2,4,5,6,4,5,,5,3,2,1,4,3,0,4,0,15,10,0,1,0,0,"Communication, Games, Social Media, Music"
29,4,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,1,4,1,4,1,2,4,1,4,1,1,7,5,6,7,6,7,4,5,4,7,6,2,0,0,0,17,10,0,0,0,0,Communication
30,4,1,2,4,,4,4,4,4,2,1,4,4,4,4,4,2,4,1,4,1,4,4,1,4,4,4,4,5,7,7,7,4,4,4,6,1,5,7,1,0,1,15,10,0,0,0,0,School
31,2,4,4,1,1,1,2,4,2,1,4,2,2,2,1,2,2,4,1,4,2,4,1,1,2,2,1,7,7,7,5,,3,1,2,4,2,7,1,5,9,0,17,10,0,0,1,1,Music
32,3,2,1,4,1,3,1,2,4,3,4,1,1,2,4,2,4,1,1,3,1,4,2,1,2,,4,4,4,2,1,1,4,5,6,1,1,7,5,0,9,0,20,10,0,0,1,0,Communication
33,2,4,2,3,4,4,1,1,1,2,2,1,1,1,1,2,3,4,1,1,2,1,3,4,4,4,4,1,1,2,1,1,4,2,2,1,1,1,1,16,0,0,17,10,0,0,0,0,Music
34,2,4,1,1,4,4,2,2,4,3,3,4,1,2,4,1,4,1,3,4,2,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,17,10,1,,0,,Other
35,4,2,4,2,4,1,2,3,4,1,1,2,1,4,4,2,4,1,1,,4,1,2,4,4,1,2,6,4,2,1,2,,4,1,1,5,2,2,2,0,,19,10,0,1,0,0,Games
36,4,2,1,4,3,2,4,4,4,4,2,4,4,3,1,3,4,4,1,4,4,3,3,,,4,2,5,5,3,5,7,5,3,2,4,3,6,7,2,0,1,18,10,0,0,0,0,Communication
37,4,3,4,3,3,1,2,4,4,3,4,1,2,3,2,2,4,4,2,4,2,2,2,4,3,2,4,7,4,3,6,7,6,4,5,4,5,4,6,8,0,1,17,10,0,1,0,0,School
38,4,4,2,4,4,4,1,4,4,3,1,2,3,2,1,2,3,3,1,4,2,1,2,2,3,3,3,5,5,5,5,5,,2,2,2,2,3,2,0,1,0,15,10,0,0,1,0,Music
39,4,1,2,4,1,2,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,4,1,1,4,1,1,5,5,2,5,6,7,3,4,2,3,4,6,3,0,0,14,10,0,1,0,0,Games
40,4,4,1,4,4,2,1,4,4,4,1,4,4,1,2,2,4,3,1,4,1,1,2,,4,3,1,2,5,2,6,6,7,7,5,3,4,4,6,0,2,1,17,10,0,0,0,0,Communication
41,4,3,3,4,4,3,2,3,2,4,4,3,4,2,4,1,4,4,2,1,2,3,4,4,4,2,2,6,2,3,3,3,3,3,3,4,4,4,2,2,0,1,17,10,0,0,0,1,Communication
42,1,2,2,4,4,3,2,4,2,3,1,2,2,1,1,3,2,4,1,4,2,1,4,3,3,1,1,,6,7,4,6,,3,4,5,2,3,4,1,0,1,20,10,0,0,0,0,Communication
43,4,2,1,4,2,1,4,4,4,2,1,1,1,4,4,2,2,3,2,4,2,1,2,2,4,2,2,4,2,2,4,,6,1,5,6,1,2,2,4,0,1,19,10,0,0,0,0,Communication
44,4,3,2,4,2,2,1,4,2,4,1,4,4,4,4,1,1,2,4,2,2,4,4,4,4,4,4,5,5,5,1,,2,3,3,2,1,5,2,6,0,1,19,10,0,0,0,1,"School, Communication, Music"
45,4,2,4,4,2,4,4,4,2,2,4,2,4,4,4,3,2,2,2,4,2,2,2,2,3,2,4,2,4,3,5,,3,5,6,5,5,5,2,8,0,1,18,10,0,0,1,0,Other
46,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,3,2,3,4,3,1,4,4,2,1,1,2,3,1,0,,17,10,0,0,1,0,Music
47,2,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,1,2,2,4,4,1,3,3,4,4,3,3,4,6,5,3,5,3,5,2,7,7,6,10,0,0,19,10,1,1,0,1,Other
48,4,4,1,,4,2,1,4,4,4,1,1,3,4,4,4,4,4,1,4,4,1,4,4,4,3,4,2,1,3,1,3,2,2,2,1,1,4,2,1,9,0,16,10,0,0,0,0,Communication
49,1,2,4,1,1,4,4,1,1,4,4,4,1,4,1,1,1,2,1,4,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16,10,1,1,1,1,Other
50,2,3,1,4,4,4,42,1,3,4,1,4,1,4,4,2,4,4,1,3,2,4,4,1,4,3,4,6,7,6,6,3,6,6,5,7,4,6,7,2,0,0,15,10,1,1,0,0,Other
51,4,1,1,4,2,3,1,2,3,1,1,2,4,1,1,3,2,3,1,3,1,2,4,1,2,3,1,5,4,4,5,3,3,6,5,3,2,5,3,13,6,0,16,10,0,0,0,0,Social Media
52,4,2,3,4,3,4,1,4,1,1,4,4,4,1,1,4,1,1,1,4,1,2,4,4,4,1,1,3,7,5,3,1,7,5,4,2,1,6,2,1,0,0,17,10,0,0,0,1,Communication
53,4,2,3,4,1,4,3,3,4,1,1,2,3,2,3,2,2,3,3,2,2,4,3,2,4,2,2,4,6,6,2,2,1,2,4,4,2,6,5,0,5,1,17,10,0,0,1,0,Communication
54,4,1,1,2,1,1,2,3,1,1,1,2,3,1,1,2,3,3,2,4,1,4,4,3,4,1,1,4,6,4,6,2,3,3,1,1,2,5,1,2,4,1,17,10,0,0,0,0,Communication
55,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,16,10,1,1,1,1,Other
56,3,2,1,4,3,4,4,,2,3,1,3,2,3,4,1,3,4,2,4,1,3,4,3,4,2,3,3,2,2,,1,3,1,2,2,2,3,1,0,5,0,15,10,0,0,1,0,School
57,4,2,2,4,1,1,1,4,4,4,1,1,1,1,1,4,4,4,3,4,4,1,4,1,4,3,4,3,6,3,3,7,7,3,3,3,1,1,1,0,0,0,14,10,0,0,0,1,School
58,4,4,4,4,4,3,1,4,2,4,1,1,3,2,2,2,2,4,3,3,3,4,2,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14,10,0,1,0,0,
59,4,1,2,4,2,1,1,1,2,4,2,3,3,3,2,3,2,4,1,4,2,4,4,3,4,2,2,5,2,2,4,4,5,2,5,2,2,2,2,1,3,0,16,10,0,1,0,1,Communication
60,3,1,2,3,1,3,1,4,1,3,1,1,1,3,2,2,1,3,1,3,4,2,3,3,1,1,3,2,1,2,1,2,5,1,3,1,1,4,2,14,0,1,14,10,0,0,1,0,Communication
61,4,4,3,4,4,3,2,4,3,3,1,4,4,4,1,3,3,4,1,4,4,4,3,4,4,4,3,2,3,3,1,2,1,3,4,4,6,2,1,0,0,1,17,10,0,1,0,0,Communication
62,4,4,4,4,4,4,4,4,4,4,4,,2,3,1,4,4,2,3,4,4,4,4,4,4,4,4,3,1,1,5,6,2,1,5,4,1,1,1,0,1,2,16,10,0,0,0,0,Communication
63,4,4,2,4,2,3,2,4,2,4,1,2,1,1,2,2,2,1,1,4,2,4,2,2,2,3,2,7,7,6,2,2,1,4,3,3,4,2,1,0,4,1,15,10,0,1,0,0,Other
64,4,2,3,4,2,4,1,2,4,2,1,2,2,2,3,2,3,2,1,4,2,4,3,1,4,2,2,4,3,6,1,3,2,2,2,3,6,7,1,1,6,1,13,10,0,0,0,0,Other
65,4,3,4,3,2,1,3,4,2,4,3,2,1,1,3,3,4,2,1,4,2,4,2,2,4,3,3,4,6,6,1,7,1,3,4,5,1,3,3,1,0,1,18,10,0,0,0,0,Music
66,4,4,4,4,4,4,2,1,4,4,1,4,4,4,4,1,4,1,1,4,4,1,4,1,1,4,1,7,6,7,7,4,4,4,4,4,2,4,5,3,0,1,17,10,0,0,0,1,Music
67,2,3,3,4,,2,3,4,4,,4,3,1,3,2,4,3,1,2,2,4,2,4,4,4,3,2,2,5,6,3,6,6,1,2,1,1,2,1,2,0,1,14,10,0,0,0,0,Other
68,4,2,4,4,3,3,4,4,2,3,1,4,4,4,4,2,3,4,4,4,4,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,19,10,0,,1,,
69,4,4,2,4,3,2,2,3,2,1,4,1,2,4,4,4,2,3,3,4,1,4,4,4,2,3,2,4,4,6,6,2,2,2,1,2,4,4,5,3,0,1,16,10,0,1,0,0,Communication
70,2,3,2,1,1,4,3,2,4,4,3,2,1,3,4,4,2,4,1,4,1,4,,1,,1,,6,7,5,3,2,2,2,5,3,1,6,2,0,0,0,16,10,0,0,0,0,Communication
71,1,1,4,4,3,3,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,5,2,2,4,7,2,6,5,4,2,7,2,0,3,1,15,10,0,0,0,0,Games
72,4,4,4,2,2,3,2,4,4,4,2,4,4,1,4,4,4,2,1,4,2,4,4,4,4,2,4,1,1,2,2,5,5,3,3,3,3,5,7,0,3,1,15,10,0,0,0,0,Music
73,4,2,1,4,4,2,1,3,1,3,1,4,1,1,3,1,2,2,1,4,2,4,4,1,4,3,1,3,4,2,1,2,4,,,,3,2,1,1,0,1,17,10,0,0,1,0,School
74,1,2,2,3,1,,4,3,1,,,4,1,1,3,2,4,3,2,1,3,2,3,,2,4,3,6,4,1,,1,4,1,5,,,4,7,0,6,1,17,10,,,0,0,Communication
75,4,4,3,4,4,4,4,2,2,2,1,1,2,4,4,2,4,3,2,4,3,4,3,4,2,4,4,1,1,1,1,5,2,1,1,2,1,2,3,0,1,1,15,10,0,0,0,0,Games
76,4,2,1,4,4,1,4,4,3,4,1,4,1,4,3,1,2,4,1,4,4,3,4,3,4,2,3,2,3,5,2,5,2,1,3,1,1,4,1,0,5,1,17,10,0,0,1,0,School
77,4,3,2,4,3,2,1,3,4,2,1,3,1,2,3,2,3,2,3,4,2,4,2,2,4,1,3,3,3,4,3,5,1,4,5,5,4,4,3,0,8,2,15,10,0,1,0,1,Other
78,4,3,1,4,4,3,1,4,1,4,4,2,4,4,3,4,1,1,4,4,2,4,1,4,4,,3,7,6,4,3,4,6,1,1,3,1,3,6,0,3,1,17,10,0,1,0,0,Social Media
79,4,1,4,4,4,4,4,4,2,2,1,1,1,2,2,1,2,2,2,4,2,4,3,4,3,2,1,1,1,1,1,1,1,3,5,,6,7,6,0,0,1,15,10,0,0,0,1,Music
80,4,2,2,4,1,3,2,3,1,3,1,3,1,4,1,4,4,3,1,4,4,1,3,3,3,3,2,5,2,1,3,5,4,2,5,5,2,4,2,3,0,1,14,10,0,0,0,0,Other
81,4,1,1,4,4,3,2,1,1,4,1,2,3,4,3,1,3,2,1,4,2,2,4,1,4,,1,2,3,2,1,1,2,4,4,2,3,2,2,0,0,,,10,0,0,1,0,School
82,3,4,1,4,3,1,3,2,4,2,1,3,2,4,4,4,1,1,2,4,3,2,3,1,4,2,1,3,4,5,1,7,3,6,4,1,2,3,1,0,1,1,15,10,0,0,0,,School
83,4,3,4,4,1,2,1,3,1,3,2,4,3,4,4,1,3,4,1,4,2,1,4,4,4,2,3,1,2,1,2,2,3,3,2,4,1,4,2,4,10,1,17,10,0,0,0,0,Music
84,2,3,3,4,4,3,2,1,3,1,4,3,2,3,2,2,2,4,1,4,1,3,1,1,4,1,4,4,3,6,3,7,4,7,4,6,1,5,3,,,0,16,10,0,0,0,0,Social Media
85,2,1,3,4,1,2,1,4,3,4,1,4,4,1,1,3,4,3,2,4,1,4,4,4,4,4,2,4,1,,1,6,5,1,3,4,1,5,1,0,4,0,13,7,0,0,1,0,Communication
86,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,1,3,2,2,3,2,2,1,1,1,1,7,5,4,1,1,2,2,1,1,1,1,0,0,1,,7,0,1,0,1,Games
87,2,1,4,2,4,1,,4,3,4,1,1,2,3,4,3,2,2,3,4,2,4,4,1,4,2,3,1,1,1,1,1,1,1,1,1,,1,1,0,0,1,13,7,0,,1,,
88,3,2,1,4,3,3,2,3,4,,2,2,2,3,2,2,2,1,1,4,3,3,2,3,3,2,4,3,2,2,4,5,5,2,2,1,1,2,2,0,0,1,11,7,0,0,1,0,School
89,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,3,2,4,3,2,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,11,7,0,0,0,0,social media
90,1,3,,2,,1,4,3,2,4,3,4,1,3,4,4,2,3,4,4,2,4,3,,,,,3,7,5,3,7,6,6,7,5,4,5,6,,,0,11,7,0,0,1,0,Games
91,4,1,3,4,4,2,4,4,1,4,1,4,4,4,2,4,4,1,4,4,1,2,4,4,4,4,1,5,6,7,7,6,7,4,6,3,5,6,7,0,4,0,12,7,0,1,0,0,Communication
92,2,4,2,4,4,2,2,4,4,1,1,2,4,1,4,2,3,3,3,4,2,4,4,3,4,3,3,1,1,1,1,1,1,1,1,2,3,3,4,0,0,1,12,7,0,1,1,1,Games
93,3,4,1,4,4,4,3,3,3,3,4,3,3,3,3,4,3,4,1,4,,2,2,4,4,3,2,2,2,1,1,6,5,5,6,6,2,2,6,0,1,0,12,7,0,0,1,0,School
94,3,1,4,3,3,1,3,3,2,3,3,3,1,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,6,7,7,6,3,2,5,1,2,1,3,0,0,0,12,7,0,0,1,0,Communication
95,4,3,4,2,2,3,1,4,2,2,3,3,2,2,3,4,1,4,3,4,1,3,3,4,4,4,3,7,4,4,5,6,,3,5,6,7,5,4,,,,13,7,0,0,0,1,
96,4,2,4,4,4,4,2,4,3,2,4,2,4,4,3,4,3,2,4,4,4,4,4,4,4,4,4,6,3,4,6,5,6,2,2,4,6,3,5,3,0,0,13,7,0,0,0,0,Music
97,4,2,1,3,1,2,4,3,1,4,4,4,1,3,1,4,4,4,4,3,4,4,4,4,4,4,1,4,1,2,2,2,2,2,2,1,1,2,1,,,0,12,7,0,0,1,0,Communication
98,2,1,4,2,,4,1,2,3,2,1,1,2,4,3,2,2,2,3,4,2,4,4,1,4,1,2,6,4,6,3,5,6,1,3,3,4,2,2,,,0,13,7,0,1,0,1,School
99,4,3,3,1,3,4,1,3,4,1,3,2,4,2,1,3,3,1,1,3,4,4,2,4,1,3,4,5,7,3,1,5,5,3,6,3,7,4,2,0,0,1,14,7,0,1,0,0,Games
100,3,2,,2,1,2,3,4,1,4,2,1,3,2,1,2,4,3,3,1,2,2,3,,,,,7,,3,,4,6,1,4,2,5,2,1,0,0,,,7,0,1,0,1,Music
101,1,3,1,4,2,2,4,2,2,3,2,2,2,3,2,4,2,2,1,4,2,3,2,2,4,3,2,5,,4,1,7,4,4,3,4,2,2,5,2,0,0,11,7,0,0,0,0,Communication
102,4,2,4,4,4,3,1,3,1,4,1,3,1,2,4,4,4,2,3,4,1,3,4,1,3,3,2,6,2,4,6,5,3,2,4,,6,3,1,5,9,0,12,7,0,0,0,0,Social Media
103,4,4,4,4,1,4,2,4,4,3,1,1,4,4,4,4,4,4,4,4,4,1,4,1,4,3,3,4,6,6,6,5,6,4,6,3,5,3,4,0,0,0,13,7,0,1,0,0,Games
104,1,1,2,1,1,1,2,1,1,1,3,4,1,2,1,1,3,2,1,1,3,1,1,1,1,3,3,5,7,6,5,4,2,3,,4,3,2,6,0,0,1,15,7,0,1,0,1,Music
105,1,1,3,1,3,3,4,4,3,3,3,4,2,1,3,4,2,2,1,4,4,4,4,4,1,2,4,1,4,4,6,1,2,3,4,5,6,3,6,0,7,1,12,7,0,0,0,0,Communication
106,1,1,4,4,3,2,1,4,2,1,1,3,2,1,3,1,1,4,1,4,1,4,4,1,4,3,1,2,1,3,5,5,5,1,3,1,1,1,1,0,0,1,11,7,0,0,0,1,Music
107,4,1,4,3,,1,2,4,1,3,2,4,4,1,1,4,1,3,2,4,1,4,1,1,4,3,4,7,7,6,7,5,7,6,4,1,1,1,5,0,0,1,13,7,0,0,0,0,Games
108,4,3,,2,4,1,4,1,3,4,4,1,1,2,1,4,3,4,1,4,3,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,12,7,0,0,0,,Games
109,1,1,1,2,1,3,2,2,2,2,1,2,1,2,3,3,1,2,1,2,1,2,2,2,2,1,2,1,4,4,3,2,3,1,1,1,1,3,1,0,0,1,12,7,1,0,0,0,Music
110,4,,2,4,1,2,1,3,2,2,1,4,2,3,,4,3,3,4,4,3,4,2,3,4,2,3,6,6,4,5,4,6,5,1,4,4,4,1,6,7,0,17,7,0,1,0,0,School
111,4,4,3,4,,1,1,4,1,1,4,1,3,1,3,4,3,1,2,4,2,4,3,1,4,3,4,3,5,6,2,3,1,4,2,2,,4,5,,,0,14,7,1,0,1,1,Games
112,4,2,2,4,3,2,3,4,2,1,3,4,2,2,3,4,3,1,2,3,4,2,3,3,2,3,1,2,3,3,4,3,5,1,3,6,2,4,4,0,0,1,12,7,0,0,1,0,Games
113,4,4,4,4,1,4,4,4,1,1,4,4,1,4,4,4,4,1,1,4,4,4,1,4,4,,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,15,7,0,1,0,0,Music
114,4,1,2,4,,1,2,1,1,4,2,1,1,2,1,4,1,4,1,4,3,3,2,3,,2,,4,3,7,5,2,5,,3,2,2,5,2,0,0,1,12,7,0,0,0,0,Games
115,,4,1,4,2,2,3,1,2,1,1,3,1,2,4,1,2,3,2,3,2,3,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,7,,,,,
116,3,4,2,1,4,,1,3,4,3,1,2,1,1,1,4,2,4,1,4,3,2,4,4,3,4,4,1,1,2,3,2,,4,1,3,1,5,1,0,0,1,12,7,0,0,0,0,Communication
117,2,3,4,3,4,2,2,,4,1,3,2,,4,1,4,3,2,1,4,1,3,4,4,2,1,1,1,4,2,4,,,3,1,,,5,4,1,6,1,12,7,0,0,1,0,Games
118,11,1,1,1,1,1,1,1,1,1,2,4,1,1,2,4,1,3,1,4,3,4,4,4,,3,,7,1,1,5,6,2,1,,2,1,5,1,0,0,1,13,7,0,0,1,1,Games
119,11,3,2,2,4,4,5,5,5,5,5,3,3,3,4,3,3,3,3,5,5,5,5,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,14,7,0,1,0,1,School
120,4,4,4,4,3,4,4,4,4,4,4,3,2,1,4,4,4,1,,4,3,4,4,,,,,2,3,6,7,6,7,1,4,5,5,6,6,0,0,0,13,7,0,1,0,0,Games
